index,Body,Topic
10, 0.020*"date" + 0.015*"convert" + 0.015*"json" + 0.015*"string" + 0.015*"format" + 0.011*"valu" + 0.011*"byte" + 0.011*"pars" + 0.010*"express" + 0.010*"array" + 0.010*"data" + 0.010*"vector" + 0.008*"matrix" + 0.008*"integ" + 0.007*"char",Variable Conversion
11, 0.022*"thread" + 0.012*"except" + 0.008*"plot" + 0.008*"task" + 0.007*"method" + 0.007*"report" + 0.007*"process" + 0.006*"error" + 0.006*"code" + 0.006*"twitter" + 0.006*"block" + 0.006*"lock" + 0.006*"datat" + 0.006*"execut" + 0.006*"throw",Threading
12, 0.020*"android" + 0.017*"video" + 0.016*"devic" + 0.014*"play" + 0.010*"applic" + 0.009*"phone" + 0.009*"mobil" + 0.008*"iphon" + 0.008*"player" + 0.008*"game" + 0.008*"file" + 0.008*"notif" + 0.007*"develop" + 0.007*"app" + 0.007*"audio",Android
13, 0.016*"node" + 0.013*"tree" + 0.012*"nod" + 0.012*"logcat" + 0.011*"queue" + 0.011*"selector" + 0.009*"zero" + 0.009*"timer" + 0.009*"chat" + 0.008*"speed" + 0.008*"opengl" + 0.008*"enum" + 0.008*"resolut" + 0.008*"shift" + 0.008*"minut",Data Structures
14, 0.025*"branch" + 0.021*"commit" + 0.017*"card" + 0.016*"github" + 0.016*"repositori" + 0.015*"struct" + 0.015*"merg" + 0.014*"viewcontrol" + 0.014*"countri" + 0.013*"citi" + 0.013*"master" + 0.011*"squar" + 0.010*"push" + 0.010*"fade" + 0.010*"cakephp",Version Contorl/Git
15, 0.022*"button" + 0.018*"event" + 0.015*"click" + 0.014*"activ" + 0.012*"dialog" + 0.010*"press" + 0.008*"child" + 0.008*"window" + 0.008*"close" + 0.007*"panel" + 0.007*"code" + 0.007*"trigger" + 0.007*"keyboard" + 0.007*"view" + 0.006*"handler",GUI
16, 0.012*"jsfiddl" + 0.012*"color" + 0.010*"menu" + 0.010*"element" + 0.010*"imag" + 0.009*"jqueri" + 0.008*"page" + 0.008*"http" + 0.008*"html" + 0.008*"click" + 0.008*"select" + 0.008*"work" + 0.008*"chrome" + 0.007*"button" + 0.007*"text",JsFiddle
17, 0.033*"tabl" + 0.024*"queri" + 0.023*"column" + 0.014*"databas" + 0.014*"data" + 0.012*"record" + 0.012*"row" + 0.011*"valu" + 0.011*"mysql" + 0.010*"select" + 0.010*"insert" + 0.009*"field" + 0.008*"result" + 0.007*"want" + 0.007*"like",SQL/Database
18, 0.022*"memori" + 0.016*"camera" + 0.015*"profil" + 0.014*"alloc" + 0.014*"layer" + 0.014*"textur" + 0.013*"selenium" + 0.013*"transact" + 0.011*"leak" + 0.010*"green" + 0.010*"pool" + 0.009*"edittext" + 0.009*"overlay" + 0.009*"rais" + 0.008*"timeout",Unity
19, 0.015*"instal" + 0.014*"file" + 0.014*"error" + 0.013*"project" + 0.011*"command" + 0.010*"compil" + 0.009*"version" + 0.009*"build" + 0.008*"script" + 0.008*"eclips" + 0.007*"run" + 0.007*"window" + 0.007*"modul" + 0.007*"python" + 0.007*"librari",Scripting Languages
