index,Body,Topic
10," 0.023*""json"" + 0.011*""data"" + 0.010*""product"" + 0.010*""object"" + 0.009*""categori"" + 0.008*""model"" + 0.008*""pars"" + 0.008*""tensorflow"" + 0.008*""attribut"" + 0.008*""laravel"" + 0.007*""collect"" + 0.007*""like"" + 0.007*""mongodb"" + 0.006*""file"" + 0.006*""structur""",Json
11," 0.020*""tab"" + 0.018*""symbol"" + 0.015*""recurs"" + 0.014*""flask"" + 0.013*""binari"" + 0.013*""payment"" + 0.012*""region"" + 0.012*""virtual"" + 0.012*""constraint"" + 0.012*""worksheet"" + 0.012*""sqlite"" + 0.011*""linux"" + 0.011*""gmail"" + 0.011*""gateway"" + 0.010*""tree""",Python Flask
12," 0.027*""branch"" + 0.026*""ionic"" + 0.026*""commit"" + 0.022*""mail"" + 0.018*""repo"" + 0.018*""unit"" + 0.016*""master"" + 0.014*""translat"" + 0.013*""cordova"" + 0.013*""push"" + 0.012*""merg"" + 0.012*""cart"" + 0.011*""github"" + 0.011*""english"" + 0.011*""helper""",Version Control
13," 0.020*""class"" + 0.016*""function"" + 0.014*""method"" + 0.012*""object"" + 0.012*""type"" + 0.008*""error"" + 0.008*""code"" + 0.008*""variabl"" + 0.008*""paramet"" + 0.008*""pass"" + 0.008*""compil"" + 0.007*""argument"" + 0.007*""like"" + 0.007*""properti"" + 0.007*""test""",OOD/OOP
14," 0.010*""server"" + 0.009*""servic"" + 0.009*""connect"" + 0.009*""java"" + 0.008*""request"" + 0.008*""spring"" + 0.007*""client"" + 0.007*""error"" + 0.007*""thread"" + 0.007*""applic"" + 0.006*""messag"" + 0.005*""send"" + 0.005*""test"" + 0.005*""method"" + 0.005*""file""",Client/Server Services
15," 0.021*""imag"" + 0.016*""color"" + 0.014*""menu"" + 0.013*""scroll"" + 0.013*""text"" + 0.010*""anim"" + 0.010*""width"" + 0.010*""style"" + 0.010*""background"" + 0.009*""chang"" + 0.009*""screen"" + 0.009*""icon"" + 0.008*""jsfiddl"" + 0.008*""layout"" + 0.008*""button""",Image/Display
16," 0.028*""matrix"" + 0.024*""height"" + 0.020*""player"" + 0.018*""comput"" + 0.017*""card"" + 0.016*""member"" + 0.016*""rotat"" + 0.016*""game"" + 0.015*""matlab"" + 0.014*""distanc"" + 0.013*""score"" + 0.013*""weight"" + 0.013*""blue"" + 0.013*""zoom"" + 0.012*""hello""",Matrix/Matlab
17," 0.028*""excel"" + 0.025*""formula"" + 0.025*""macro"" + 0.024*""gradl"" + 0.024*""cell"" + 0.020*""export"" + 0.018*""nodej"" + 0.016*""listview"" + 0.015*""hash"" + 0.015*""workbook"" + 0.014*""focu"" + 0.013*""unexpect"" + 0.011*""blank"" + 0.010*""uninstal"" + 0.010*""recyclerview""",Excel
18," 0.023*""permiss"" + 0.019*""decim"" + 0.016*""cast"" + 0.016*""student"" + 0.016*""echo"" + 0.015*""struct"" + 0.012*""cluster"" + 0.012*""monitor"" + 0.012*""keyword"" + 0.011*""absolut"" + 0.011*""difficulti"" + 0.011*""comparison"" + 0.010*""emul"" + 0.010*""percentag"" + 0.009*""faster""",Linux Shell Scripting
19," 0.017*""plot"" + 0.015*""chart"" + 0.013*""graph"" + 0.009*""memori"" + 0.009*""axi"" + 0.008*""data"" + 0.008*""size"" + 0.008*""cooki"" + 0.007*""posit"" + 0.007*""valu"" + 0.007*""byte"" + 0.006*""area"" + 0.006*""rewrit"" + 0.006*""point"" + 0.006*""nod""",Data Visualisation
